#
#   VizieR Astronomical Server cdsarc.cds.unistra.fr
#    Date: 2025-04-28T21:48:34 [V7.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-28T21:48:34	  Query execution date
#INFO	request=https://cdsarc.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-out.add=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=V/137D/XHIP,V/137D/refs,V/137D/groups&-order=I&-out=HIP&-out=RAJ2000&-out=DEJ2000&-out=Dist&Dist=&gt;= 0&-out=X&-out=Y&-out=Z&-out=SpType&Simbad=Simbad&-out=Lum&-out=Name&-out=GrpName&-out=AltName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=3	
#  3 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5137
#Name: V/137D
#Title: Extended Hipparcos Compilation (XHIP) (Anderson+, 2012)
#INFO	ivoid=ivo://cds.vizier/v/137d	    IVOID of underlying data collection
#INFO	creator=Anderson E.	    First author or institution
#INFO	cites=bibcode:2012AstL...38..331A	    Article or Data origin sources
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/137D	    Dataset landing page
#INFO	publication_date=2017-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	V_137D_XHIP:
#Name: V/137D/XHIP
#Title: XHIP catalog: astrometry, spectrography, space motions, exoplanets, photometry, and references
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F12.8)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F7.2)	? Heliocentric distance (7)	[ucd=pos.distance]
#Column	X	(F6.1)	? Heliocentric distance towards Gal. center	[ucd=pos.distance]
#Column	Y	(F7.1)	? Heliocentric distance towards Gal. rotation	[ucd=pos.distance]
#Column	Z	(F6.1)	? Heliocentric distance towards N. Gal. Pole	[ucd=pos.distance]
#Column	SpType	(a26)	Spectral type (MK, HD, or other)	[ucd=src.spType]
#Column	Lum	(F9.2)	? Stellar luminosity (23)	[ucd=phys.luminosity]
#Column	Name	(a48)	Star name(s)	[ucd=meta.id]
#Column	GrpName	(a106)	Cluster or Association name(s)	[ucd=meta.id.parent]
HIP	RAJ2000	DEJ2000	Dist	X	Y	Z	SpType	Lum	Name	GrpName
 	deg	deg	pc	pc	pc	pc	 	Lsun	 	
------	------------	------------	-------	------	-------	------	--------------------------	---------	------------------------------------------------	----------------------------------------------------------------------------------------------------------
     2	000.00379738	-19.49883738	  47.79	   5.2	   10.3	 -46.4	K3 V                      	     0.54	                                                	
     3	000.00500794	+38.85928608	 429.40	-148.7	  366.4	-167.3	B8V                       	   436.65	                                                	
     4	000.00838188	-51.89354611	 132.53	  46.0	  -37.5	-118.5	F0 V                      	     9.17	                                                	
     7	000.02254892	+20.03660198	  57.56	 -12.5	   41.4	 -37.9	K0V                       	     0.49	                                                	
    10	000.03625296	-50.86707363	  91.40	  31.1	  -24.5	 -82.4	F6 V                      	     2.63	                                                	
    11	000.03729667	+46.94000168	 233.46	 -91.4	  206.1	 -60.5	A2                        	    54.66	                                                	
    14	000.04827227	-00.36042124	 201.17	 -10.6	   98.4	-175.2	K0                        	    76.69	                                                	
    17	000.05109973	-40.19232840	 134.73	  36.3	  -14.1	-129.0	F3 V                      	     8.41	                                                	
    18	000.05313977	-04.05373774	  44.37	  -0.9	   19.5	 -39.8	K5V                       	     0.23	                                                	
    19	000.05331690	+38.30408633	 247.12	 -84.9	  210.2	 -98.5	G8III                     	   173.22	                                                	
    20	000.06295067	+23.52928427	  95.90	 -23.4	   72.0	 -58.9	G0                        	     3.38	                                                	
    21	000.06623581	+08.00723430	 183.68	 -22.5	  108.9	-146.2	K2                        	    67.94	                                                	
    23	000.07442973	+13.31221097	  85.93	 -14.3	   56.0	 -63.6	F3IV/V                    	     6.30	                                                	
    24	000.07604978	-23.45274895	 104.04	  14.7	   16.2	-101.7	G0 V                      	     2.26	                                                	
    25	000.07936602	-44.29029730	  80.99	  24.1	  -13.6	 -76.1	G5IV                      	    20.14	                                                	
    26	000.08434569	-13.39329701	  99.37	   5.7	   30.5	 -94.4	F7 V                      	     1.93	                                                	
    27	000.08546970	-41.29753703	 105.60	  29.3	  -12.9	-100.6	G5 V                      	     1.96	                                                	
    28	000.08724907	-43.36179957	 191.51	  55.8	  -29.5	-180.8	F3/5 V                    	     9.19	                                                	
    30	000.09613579	+42.14149904	 237.09	 -86.9	  205.6	 -80.1	A1V                       	    23.39	                                                	
    33	000.09918059	-10.46245437	 112.56	   3.6	   39.3	-105.4	F3/5 V                    	     6.48	                                                	
    34	000.09946987	+26.91823820	  74.47	 -20.1	   57.9	 -42.3	F8V                       	    12.89	                                                	
    35	000.10256035	-14.49048082	 139.55	   9.3	   40.6	-133.2	G8/K0 III/IV              	     5.15	                                                	
    36	000.10327569	+12.26709311	 181.56	 -28.7	  116.3	-136.4	K0                        	    39.70	                                                	
    38	000.11104675	-79.06183132	  42.26	  19.6	  -27.0	 -25.9	G6V                       	     0.63	                                                	
    39	000.11186159	-16.69693029	  92.00	   7.8	   23.7	 -88.5	F3 V                      	     7.87	                                                	
