HIP,Comp,Dist,SpType,Hpmag,Lum,Simbad,ProperName,SystemName,Primary
79257,242.64719543,(+,Sco,,,,,SYS_079257,False
74838,A,(+,Lib,,,,,SYS_074838,True
86883,266.27886602,(+,Sco,,,,,SYS_086883,False
33953,105.67757064,(+,CMa,,,,,SYS_033953,False
88994,272.46102569,(+,Ser,,,,,SYS_088994,False
76960,235.71563510,(+,Lib,,,,,SYS_076960,False
52982,162.57648666,(+,Ant,,,,,SYS_052982,False
81789,250.57348735,(+,9.210,,,,,SYS_081789,False
43559,133.06965485,(+,Hya,,,,,SYS_043559,False
88723,271.70256598,(+,Ara,,,,,SYS_088723,False
103826,315.59739777,(+,Cap,,,,,SYS_103826,False
112910,342.98095109,(+,Gru,,,,,SYS_112910,False
89679,274.52021121,(+,CrA,,,,,SYS_089679,False
34689,107.76508338,(+,Pup,,,,,SYS_034689,False
88709,271.64733939,(+,Sgr,,,,,SYS_088709,False
4661,014.97289741,(+,Cet,,,,,SYS_004661,False
36093,111.53973963,(+,Mon,,,,,SYS_036093,False
2842,009.00470747,(+,Scl,,,,,SYS_002842,False
35165,109.02511305,(+,CMa,,,,,SYS_035165,False
92465,282.66052519,(+,Sgr,,,,,SYS_092465,False
98765,300.89758691,(+,Sgr,,,,,SYS_098765,False
81287,249.03949641,(+,Oph,,,,,SYS_081287,False
54278,166.55263912,(+,Crt,,,,,SYS_054278,False
59954,184.45511735,(+,8.984,,,,,SYS_059954,False
33888,105.51459857,(+,CMa,,,,,SYS_033888,False
51854,158.92431620,(+,Ant,,,,,SYS_051854,False
46000,140.71923210,(+,Hya,,,,,SYS_046000,False
53658,164.66840824,(+,Hya,,,,,SYS_053658,False
39132,120.07665322,(+,Pup,,,,,SYS_039132,False
113961,346.17172548,(+,PsA,,,,,SYS_113961,False
47982,146.70449841,(G),,,,,,SYS_047982,False
88000,269.63110933,(G),,,,,,SYS_088000,False
102570,AB,(He,Cyg,,,,,SYS_102570,False
13047,A,(He,Ari,,,,,SYS_013047,True
37334,*,(IB),,,,,,SYS_037334,False
79494,A,(IB/II),,,,,,SYS_079494,True
85331,*,(II),,,,,,SYS_085331,False
27273,B,(II),,,,,,SYS_027273,False
31088,AB,(II),,,,,,SYS_031088,False
55624,A,(III),,,,,,SYS_055624,True
31344,A,(III),,,,,,SYS_031344,True
78534,AB,(III),,,,,,SYS_078534,False
99605,A,(III),Sgr,,,,,SYS_099605,True
88477,AB,(III),,,,,,SYS_088477,False
84485,A,(III),,,,,,SYS_084485,True
84052,AB,(III),,,,,,SYS_084052,False
95374,AB,(III),,,,,,SYS_095374,False
39130,AB,(III),,,,,,SYS_039130,False
78508,A,(III),,,,,,SYS_078508,True
10860,A,(III),,,,,,SYS_010860,True
34486,A,(III),,,,,,SYS_034486,True
88016,AB,(III),,,,,,SYS_088016,False
76287,AB,(III),7.159,,,,,SYS_076287,False
76507,A,(III),,,,,,SYS_076507,True
19678,AB,(III),,,,,,SYS_019678,False
37952,AB,(III),,,,,,SYS_037952,False
85033,AB,(III),8.936,,,,,SYS_085033,False
96980,AB,(III),,,,,,SYS_096980,False
33665,AB,(III),,,,,,SYS_033665,False
79915,AB,(III),,,,,,SYS_079915,False
32416,AB,(III),,,,,,SYS_032416,False
77116,AB,(III),,,,,,SYS_077116,False
110856,AB,(III),,,,,,SYS_110856,False
33443,*,(III),,,,,,SYS_033443,False
77043,C,(III),,,,,,SYS_077043,False
105472,A,(III),,,,,,SYS_105472,True
33380,A,(III),,,,,,SYS_033380,True
80297,A,(III),,,,,,SYS_080297,True
95862,AB,(III),,,,,,SYS_095862,False
105438,AB,(III),,,,,,SYS_105438,False
88762,A,(III),,,,,,SYS_088762,True
97256,AB,(III),,,,,,SYS_097256,False
38386,A,(III),,,,,,SYS_038386,True
105890,AB,(III),,,,,,SYS_105890,False
76296,AB,(III),,,,,,SYS_076296,False
74353,B,(III),,,,,,SYS_074353,False
82077,AB,(III),,,,,,SYS_082077,False
92245,AB,(III),,,,,,SYS_092245,False
112325,BC,(III),,,,,,SYS_112325,False
75186,AB,(III),,,,,,SYS_075186,False
82791,AB,(III),,,,,,SYS_082791,False
60064,A,(III),,,,,,SYS_060064,True
100943,A,(III),,,,,,SYS_100943,True
82666,A,(III),,,,,,SYS_082666,True
81985,AB,(III),,,,,,SYS_081985,False
73545,AB,(III),,,,,,SYS_073545,False
85784,AB,(III),,,,,,SYS_085784,False
59662,A,(III),,,,,,SYS_059662,True
37743,AB,(III),,,,,,SYS_037743,False
86417,AB,(III),,,,,,SYS_086417,False
93539,AB,(III),,,,,,SYS_093539,False
11945,AB,(III),7.303,,,,,SYS_011945,False
62234,A,(III),7.374,,,,,SYS_062234,True
94119,AB,(III),,,,,,SYS_094119,False
43320,AB,(III),,,,,,SYS_043320,False
92423,AB,(III),,,,,,SYS_092423,False
99660,AB,(III),,,,,,SYS_099660,False
23419,A,(III),,,,,,SYS_023419,True
62571,AB,(III),,,,,,SYS_062571,False
99948,AB,(III),,,,,,SYS_099948,False
