main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,ids,sp_type,user_specified_id,object_number_id
HD 145133,242.64714885733997,-33.431557919220005,0.0194,0.013,90,O,2020yCat.1350....0G,HIP 79257|Gaia DR3 6035668617096371072|TIC 95108073|CD-33 10969|CPC 17  8415|CPD-33  3987|GSC 07334-01744|HD 145133|HIC  79257|PPM 294756|SAO 207418|TYC 7334-1744-1|uvby98 100145133|2MASS J16103532-3325537|GEN# +1.00145133|Gaia DR2 6035668617096371072,G8IV(+F),HIP 79257 ,1
V* IO Lib,229.41498235506998,-17.19710387883,0.015,0.0117,90,O,2020yCat.1350....0G,HIP 74838|Gaia DR3 6258999357347771648|WISEA J151739.61-171149.9|** HDS 2150A|WISE J151739.61-171149.8|UCAC4 365-069267|Gaia DR2 6258999357347771648|WDS J15177-1712A|TYC 6174-1033-1|CCDM J15177-1712A|TIC 118696278|BD-16  4049|GSC 06174-01033|HD 135810|HIC  74838|PPM 230027|SAO 159156|V* IO Lib|YZ 107  5621|2MASS J15173958-1711495,F2/3,HIP 74838 ,2
HD 161137,266.27886683287,-30.183144080369996,0.0155,0.0113,90,O,2020yCat.1350....0G,HIP 86883|Gaia DR3 4056831361110482944|TIC 110130405|CD-30 14654|CPC 17  9428|CPD-30  4882|GSC 07377-00086|HD 161137|HIC  86883|PPM 296753|SAO 209217|SRS  14398|TYC 7377-86-1|YZ 120 11251|2MASS J17450693-3010593|SSTGLMC G358.8787-00.5566|Gaia DR1 4056831356804532608|Gaia DR2 4056831361110482944,G8III(+F/G),HIP 86883 ,3
V* FZ CMa,105.67755998957,-11.45321498192,0.0391,0.041,90,O,2020yCat.1350....0G,HIP 33953|Gaia DR3 3046036062400216576|TIC 125497512|2MASS J07024261-1127117|SBC9 431|SBC9 430|BD-11  1755|GCRV  4631|GEN# +1.00052942|GSC 05389-00639|HD  52942|HIC  33953|HRW  5|PPM 218051|SAO 152277|SV* BV   656|TD1  8925|TYC 5389-639-1|UBV M  12776|V* FZ CMa|VDB  90a|YZC 11  2340|[C74]  67|[SEI99] 159|ALS 15927|PMSC 06580-1119Aabc|Gaia DR1 3046036058098683776|uvby98 100052942|WEB  6812|WEB  6813|Gaia DR2 3046036062400216576,B2IVn,HIP 33953 ,4
V* W Ser,272.46103567238,-15.550073166289998,0.0206,0.0167,90,O,2020yCat.1350....0G,HIP 88994|Gaia DR3 4145913106044646016|TIC 106163940|SBC9 1027|AN   55.1907|BD-15  4842|GCRV 10603|GEN# +1.00166126|GSC 06264-01358|HD 166126|HIC  88994|Hen 3-1608|JP11  2940|PPM 234118|SAO 161128|SBC7   663|SV* HV  2909|TYC 6264-1358-1|V* W Ser|YZ 105  6560|[P58]  628|2MASS J18095070-1533009|AKARI-IRC-V1 J1809508-153301|IRAS 18070-1533|Gaia DR1 4145913101692231680|uvby98 100166126|WEB 15097|Gaia DR2 4145913106044646016,F8/G2Iaep(+A),HIP 88994 ,5
HD 140104,235.71561048481,-28.19388359729,0.0438,0.0328,90,O,2020yCat.1350....0G,HIP 76960|Gaia DR3 6233385959105359872|TIC 23132752|CD-27 10514|CPD-27  5231|GSC 06789-00111|HD 140104|HIC  76960|PPM 264599|SAO 183721|TYC 6789-111-1|YZ 118  9834|2MASS J15425174-2811380|Gaia DR2 6233385959105359872,G3V(+F/G),HIP 76960 ,6
HD  93972,162.57646771312,-37.67228016755,0.0077,0.0098,90,O,2020yCat.1350....0G,HIP 52982|Gaia DR3 5395040056961613056|TIC 158222044|CD-37  6849|CPC 18  5049|CPD-37  4442|GSC 07724-01246|HD  93972|HIC  52982|PPM 288183|SAO 201811|SRS   9953|TYC 7724-1246-1|2MASS J10501835-3740202|Gaia DR1 5395040052664663296|Gaia DR2 5395040056961613056,G8III(+G),HIP 52982 ,7
HD 150419,250.57345761844996,-32.78882879802,0.022,0.0113,90,O,2020yCat.1350....0G,HIP 81789|Gaia DR3 6027315485526408832|TIC 94984820|CD-32 11923|CPC 17  8729|CPD-32  4219|GEN# +1.00150419|GSC 07350-00336|HD 150419|HIC  81789|NBP 228|PPM 295384|SAO 207941|TYC 7350-336-1|uvby98 100150419|2MASS J16421762-3247198|Gaia DR2 6027315485526408832,G0/2V(+F),HIP 81789 ,8
HD  75867,133.06963853968,-13.345653705569998,0.0127,0.012,90,O,2020yCat.1350....0G,HIP 43559|AP J08521671-1320444|Gaia DR3 5734965140522592000|TIC 347409570|BD-12  2713|GSC 05455-00098|HD  75867|HIC  43559|PPM 220732|SAO 154700|SRS   8664|TYC 5455-98-1|YZC 11  3409|2MASS J08521671-1320444|Gaia DR1 5734965136226114688|Gaia DR2 5734965140522592000,G8III(+G),HIP 43559 ,9
HD 165091,271.70241005552,-49.539122395190006,0.1006,0.0855,90,O,2020yCat.1350....0G,HIP 88723|Gaia DR3 6706286837929683712|TIC 364873627|CD-49 11927|CPC  0 17020|CPD-49 10432|GSC 08365-01524|HD 165091|HIC  88723|PPM 323735|SAO 228701|SRS   2153|TYC 8365-1524-1|2MASS J18064857-4932210|Gaia DR2 6706286837929683712,G8/K0III(+K),HIP 88723 ,10
